                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.97665,                0.52733,                0.91764,                 0.9621,                0.90269,                0.96329,                0.73766,                0.84287,                0.42474,                0.91224,                0.00604,                0.00604,                0.00604
                     38,                 0.9704,                0.52346,                0.91738,                0.96216,                0.91348,                0.96673,                0.74347,                0.82084,                0.41583,                0.90906,                0.00593,                0.00593,                0.00593
                     39,                0.96555,                0.51787,                0.91311,                0.96448,                0.91144,                 0.9666,                0.74112,                0.83299,                0.41345,                0.91168,                0.00582,                0.00582,                0.00582
                     40,                 0.9656,                0.51421,                0.91309,                0.96224,                 0.9111,                0.96382,                0.73426,                0.84409,                0.42506,                0.91571,                0.00571,                0.00571,                0.00571
                     41,                0.95824,                0.51284,                0.91382,                0.95939,                0.91144,                0.96595,                0.74252,                0.82037,                0.41814,                0.90876,                 0.0056,                 0.0056,                 0.0056
                     42,                0.95528,                0.51222,                0.91144,                0.95784,                0.91427,                0.96712,                0.75022,                0.80489,                0.40841,                0.90411,                0.00549,                0.00549,                0.00549
                     43,                0.95058,                0.50858,                 0.9119,                0.96701,                0.91404,                0.97051,                0.75125,                0.79878,                0.40091,                0.90109,                0.00538,                0.00538,                0.00538
                     44,                0.94975,                0.50651,                0.91083,                0.96018,                0.91121,                0.96667,                0.75062,                0.80591,                0.40334,                0.90104,                0.00527,                0.00527,                0.00527
                     45,                0.94617,                  0.504,                0.90796,                0.96362,                0.91574,                0.96815,                0.75313,                0.79759,                0.39631,                0.90325,                0.00516,                0.00516,                0.00516
                     46,                0.94072,                0.50056,                0.90751,                0.96014,                0.91669,                0.96915,                0.75585,                0.78371,                0.39088,                0.89779,                0.00505,                0.00505,                0.00505
